YEAR DAY  RAD_AU  SE_LAT  SE_LON
1996   1    5.72    -2.6   282.4
1996 366    1.77    42.5   282.9
1997 365    3.92   -73.1   104.3
1998 365    7.32   -89.4   155.8
1999 365   10.13   -83.9   277.0
2000 365   12.61   -80.1   279.0
2001 364   14.88   -77.5   279.7
2002 364   16.99   -75.6   280.1
2003 364   18.97   -74.1   280.3
2004 364   20.86   -72.9   280.5
2005 363   22.67   -71.8   280.6
2006 363   24.40   -70.9   280.8
2007 363   26.07   -70.2   280.9
2008 363   27.69   -69.5   281.0
2009 362   29.26   -68.9   281.0
2010 362   30.78   -68.4   281.1
2011 362   32.27   -67.9   281.2
2012 362   33.72   -67.4   281.2
2013 361   35.14   -67.0   281.2
2014 361   36.53   -66.6   281.3
2015 361   37.89   -66.3   281.3
2016 361   39.22   -66.0   281.3
2017 360   40.53   -65.6   281.4
2018 360   41.82   -65.4   281.4
