YEAR DAY  RAD_AU  SE_LAT  SE_LON
1984   1    8.20   -11.5    98.1
1984 366    5.29    -9.3    89.4
1985 365    1.02     8.7    30.2
1986 365    4.52   -16.9   167.3
1987 365    7.62   -17.6   155.9
1988 365   10.09   -17.7   150.7
1989 364   12.22   -17.7   147.4
1990 364   14.10   -17.7   145.1
1991 364   15.79   -17.7   143.3
1992 364   17.33   -17.6   141.8
1993 363   18.75   -17.6   140.6
1994 363   20.07   -17.5   139.5
1995 363   21.29   -17.5   138.6
1996 363   22.43   -17.5   137.8
1997 362   23.50   -17.4   137.0
1998 362   24.50   -17.4   136.3
1999 362   25.44   -17.3   135.7
2000 362   26.32   -17.3   135.1
2001 361   27.15   -17.2   134.5
2002 361   27.92   -17.2   134.0
2003 361   28.65   -17.2   133.6
2004 361   29.32   -17.1   133.1
2005 360   29.96   -17.1   132.7
2006 360   30.55   -17.1   132.2
2007 360   31.09   -17.0   131.8
2008 360   31.60   -17.0   131.4
2009 359   32.08   -17.0   131.0
2010 359   32.52   -16.9   130.7
2011 359   32.92   -16.9   130.3
2012 359   33.28   -16.8   129.9
2013 358   33.62   -16.8   129.6
2014 358   33.91   -16.8   129.3
2015 358   34.18   -16.7   128.9
2016 358   34.41   -16.7   128.6
2017 357   34.60   -16.7   128.3
2018 357   34.77   -16.6   128.0
2019 357   34.90   -16.6   127.7
