YEAR DAY  RAD_AU  SE_LAT  SE_LON
1977   1    5.02    -0.8    60.0
1978   1    5.14    -0.2    91.8
1979   1    5.27     0.5   122.1
1980   1    5.38     1.0   151.0
1980 366    5.44     1.3   179.0
1981 365    5.45     1.3   206.6
1982 365    5.39     0.9   234.5
1983 365    5.29     0.4   263.3
1984 365    5.16    -0.3   293.4
1985 364    5.04    -0.9   325.0
1986 364    4.96    -1.3   357.9
1987 364    4.96    -1.2    31.3
1988 364    5.03    -0.8    64.2
1989 363    5.15    -0.1    95.9
1990 363    5.28     0.6   126.1
1991 363    5.39     1.1   154.9
1992 363    5.45     1.3   182.8
1993 362    5.44     1.2   210.4
1994 362    5.38     0.9   238.3
1995 362    5.27     0.3   267.2
1996 362    5.14    -0.4   297.5
1997 361    5.02    -1.0   329.3
1998 361    4.96    -1.3     2.3
1999 361    4.96    -1.2    35.8
2000 361    5.04    -0.7    68.6
2001 360    5.17    -0.0   100.1
2002 360    5.30     0.6   130.0
2003 360    5.40     1.1   158.6
2004 360    5.45     1.3   186.4
2005 359    5.44     1.2   214.0
2006 359    5.37     0.8   242.1
2007 359    5.25     0.2   271.1
2008 359    5.12    -0.5   301.7
2009 358    5.00    -1.0   333.8
2010 358    4.95    -1.3     6.9
2011 358    4.97    -1.1    40.4
2012 358    5.06    -0.6    73.0
2013 357    5.19     0.1   104.3
2014 357    5.32     0.7   134.0
2015 357    5.41     1.1   162.4
2016 357    5.46     1.3   190.2
2017 356    5.43     1.2   217.8
2018 356    5.35     0.8   245.9
2019 356    5.23     0.1   275.2
