YEAR DAY  RAD_AU  SE_LAT  SE_LON
1977   1   30.29     1.5   253.8
1978   1   30.29     1.5   256.0
1979   1   30.28     1.4   258.2
1980   1   30.28     1.4   260.3
1980 366   30.28     1.3   262.5
1981 365   30.27     1.3   264.7
1982 365   30.27     1.3   266.8
1983 365   30.26     1.2   269.0
1984 365   30.25     1.2   271.2
1985 364   30.25     1.1   273.4
1986 364   30.24     1.0   275.5
1987 364   30.23     1.0   277.7
1988 364   30.22     0.9   279.9
1989 363   30.21     0.9   282.0
1990 363   30.20     0.8   284.2
1991 363   30.19     0.8   286.4
1992 363   30.18     0.7   288.6
1993 362   30.18     0.6   290.8
1994 362   30.17     0.6   292.9
1995 362   30.16     0.5   295.1
1996 362   30.15     0.4   297.3
1997 361   30.14     0.4   299.5
1998 361   30.13     0.3   301.7
1999 361   30.12     0.2   303.9
2000 361   30.10     0.2   306.1
2001 360   30.09     0.1   308.3
2002 360   30.08     0.0   310.5
2003 360   30.07    -0.0   312.6
2004 360   30.06    -0.1   314.8
2005 359   30.05    -0.2   317.0
2006 359   30.05    -0.2   319.2
2007 359   30.04    -0.3   321.4
2008 359   30.03    -0.4   323.6
2009 358   30.02    -0.4   325.8
2010 358   30.01    -0.5   328.0
2011 358   30.00    -0.6   330.3
2012 358   29.99    -0.6   332.5
2013 357   29.98    -0.7   334.7
2014 357   29.97    -0.7   336.9
2015 357   29.96    -0.8   339.1
2016 357   29.95    -0.9   341.3
2017 356   29.94    -0.9   343.5
2018 356   29.94    -1.0   345.7
2019 356   29.93    -1.0   347.9
