TITLE,
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,20/01/13
TIME,11:32:07
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,2
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,   -1.1084
LASTX, 3174.8916
NPOINTS,    1589
FIRSTY,   365.89999
MAXY,  9453.14941
MINY,   303.58337
XYDATA
-1.1084,365.9
0.8916,370.377
2.8916,370.832
4.8916,362.952
6.8916,346.694
8.8916,330.571
10.8916,327.108
12.8916,329.773
14.8916,327.134
16.8916,324.942
18.8916,325.316
20.8916,326.128
22.8916,326.172
24.8916,328.237
26.8916,326.517
28.8916,324.69
30.8916,328.294
32.8916,327.143
34.8916,327.171
36.8916,329.692
38.8916,328.994
40.8916,326.768
42.8916,327.201
44.8916,329.093
46.8916,328.425
48.8916,327.419
50.8916,327.994
52.8916,330.18
54.8916,331.934
56.8916,330.831
58.8916,332.378
60.8916,336.468
62.8916,339.844
64.8916,351.222
66.8916,374.204
68.8916,414.445
70.8916,486.596
72.8916,617.908
74.8916,854.096
76.8916,1280.38
78.8916,1993.49
80.8916,3033.51
82.8916,4365.41
84.8916,5829.05
86.8916,7200.08
88.8916,8325.03
90.8916,9107.1
92.8916,9453.15
94.8916,9291.41
96.8916,8639.02
98.8916,7619.2
100.8916,6387.25
102.8916,5150.85
104.8916,4167.31
106.8916,3421.34
108.8916,2887.3
110.8916,2576.27
112.8916,2447.93
114.8916,2445.64
116.8916,2512.58
118.8916,2596.59
120.8916,2655.94
122.8916,2673.6
124.8916,2619.52
126.8916,2475
128.8916,2249.48
130.8916,1933.85
132.8916,1605.45
134.8916,1340.67
136.8916,1141.54
138.8916,1001.12
140.8916,901.138
142.8916,828.866
144.8916,780.756
146.8916,744.317
148.8916,712.234
150.8916,685.518
152.8916,669.97
154.8916,669.416
156.8916,683.602
158.8916,710.1
160.8916,736.134
162.8916,739.621
164.8916,742.214
166.8916,742.887
168.8916,722.537
170.8916,679.654
172.8916,625.486
174.8916,571.274
176.8916,526.539
178.8916,497.199
180.8916,478.196
182.8916,466.299
184.8916,459.442
186.8916,453.802
188.8916,445.127
190.8916,439.163
192.8916,437.489
194.8916,434.81
196.8916,428.724
198.8916,426.055
200.8916,425.118
202.8916,420.321
204.8916,414.038
206.8916,413.361
208.8916,415.647
210.8916,418.439
212.8916,425.031
214.8916,433.657
216.8916,439.746
218.8916,445.221
220.8916,455.501
222.8916,467.977
224.8916,474.462
226.8916,471.629
228.8916,465.143
230.8916,462.493
232.8916,454.858
234.8916,444.626
236.8916,435.858
238.8916,427.931
240.8916,426.293
242.8916,432.025
244.8916,441.167
246.8916,455.456
248.8916,490.938
250.8916,560.086
252.8916,661.786
254.8916,763.117
256.8916,825.892
258.8916,879.846
260.8916,895.097
262.8916,863.029
264.8916,798.957
266.8916,681.361
268.8916,564.726
270.8916,485.842
272.8916,442.179
274.8916,416.915
276.8916,398.251
278.8916,390.233
280.8916,388.185
282.8916,382.094
284.8916,380.343
286.8916,382.151
288.8916,382.378
290.8916,379.538
292.8916,377.127
294.8916,375.894
296.8916,375.02
298.8916,373.91
300.8916,372.196
302.8916,369.599
304.8916,369.109
306.8916,369.257
308.8916,368.566
310.8916,369.042
312.8916,370.32
314.8916,372.557
