YEAR DAY  RAD_AU  SE_LAT  SE_LON
1977   1    9.13     0.8   132.3
1978   1    9.21     1.3   145.5
1979   1    9.31     1.8   158.4
1980   1    9.42     2.1   171.1
1980 366    9.53     2.3   183.5
1981 365    9.64     2.5   195.7
1982 365    9.74     2.5   207.5
1983 365    9.83     2.4   219.2
1984 365    9.91     2.2   230.6
1985 364    9.97     2.0   241.8
1986 364   10.01     1.6   253.0
1987 364   10.04     1.2   264.0
1988 364   10.04     0.8   275.0
1989 363   10.03     0.3   286.0
1990 363    9.99    -0.1   297.1
1991 363    9.94    -0.6   308.2
1992 363    9.86    -1.1   319.6
1993 362    9.78    -1.5   331.1
1994 362    9.68    -1.9   342.8
1995 362    9.58    -2.2   354.8
1996 362    9.47    -2.4     7.0
1997 361    9.37    -2.5    19.6
1998 361    9.27    -2.5    32.4
1999 361    9.18    -2.3    45.5
2000 361    9.11    -2.0    58.8
2001 360    9.06    -1.6    72.3
2002 360    9.03    -1.2    85.9
2003 360    9.03    -0.6    99.5
2004 360    9.06    -0.0   113.1
2005 359    9.10     0.6   126.6
2006 359    9.18     1.1   139.9
2007 359    9.26     1.6   153.0
2008 359    9.36     2.0   165.8
2009 358    9.47     2.2   178.3
2010 358    9.58     2.4   190.5
2011 358    9.69     2.5   202.5
2012 358    9.79     2.5   214.2
2013 357    9.88     2.3   225.7
2014 357    9.95     2.1   237.0
2015 357   10.01     1.8   248.1
2016 357   10.04     1.4   259.2
2017 356   10.06     1.0   270.2
2018 356   10.06     0.6   281.2
2019 356   10.03     0.1   292.2
2020 356    9.99    -0.4   303.3
