YEAR DAY  RAD_AU  SE_LAT  SE_LON
1977   1   18.55     0.5   218.3
1978   1   18.61     0.4   222.8
1979   1   18.66     0.3   227.4
1980   1   18.72     0.3   231.9
1980 366   18.79     0.2   236.4
1981 365   18.85     0.2   240.9
1982 365   18.92     0.1   245.3
1983 365   18.98     0.1   249.7
1984 365   19.05     0.0   254.1
1985 364   19.12    -0.1   258.4
1986 364   19.18    -0.1   262.7
1987 364   19.25    -0.2   267.0
1988 364   19.31    -0.2   271.3
1989 363   19.38    -0.3   275.5
1990 363   19.44    -0.3   279.7
1991 363   19.51    -0.4   283.8
1992 363   19.57    -0.4   288.0
1993 362   19.63    -0.5   292.1
1994 362   19.69    -0.5   296.2
1995 362   19.74    -0.6   300.3
1996 362   19.79    -0.6   304.3
1997 361   19.84    -0.6   308.3
1998 361   19.88    -0.7   312.4
1999 361   19.92    -0.7   316.4
2000 361   19.96    -0.7   320.3
2001 360   19.99    -0.7   324.3
2002 360   20.01    -0.7   328.2
2003 360   20.04    -0.8   332.2
2004 360   20.06    -0.8   336.1
2005 359   20.07    -0.8   340.0
2006 359   20.09    -0.8   343.9
2007 359   20.09    -0.8   347.8
2008 359   20.10    -0.8   351.8
2009 358   20.10    -0.8   355.7
2010 358   20.09    -0.7   359.6
2011 358   20.08    -0.7     3.5
2012 358   20.06    -0.7     7.4
2013 357   20.03    -0.7    11.4
2014 357   20.01    -0.7    15.3
2015 357   19.97    -0.6    19.3
2016 357   19.94    -0.6    23.2
2017 356   19.90    -0.6    27.2
2018 356   19.86    -0.5    31.2
2019 356   19.82    -0.5    35.2
2020 356   19.77    -0.4    39.2
