TITLE,
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,20/01/13
TIME,10:38:12
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,2
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,   -1.1084
LASTX, 3174.8916
NPOINTS,    1589
FIRSTY,   310.39999
MAXY,  1459.59705
MINY,   301.59540
XYDATA
-1.1084,310.4
0.8916,312.409
2.8916,313.262
4.8916,311.502
6.8916,308.46
8.8916,308.674
10.8916,309.296
12.8916,308.089
14.8916,306.429
16.8916,307.273
18.8916,308.017
20.8916,307.562
22.8916,307.36
24.8916,308.153
26.8916,308.299
28.8916,308.352
30.8916,308.987
32.8916,307.264
34.8916,308.216
36.8916,310.981
38.8916,310.097
40.8916,308.239
42.8916,310.219
44.8916,312.394
46.8916,309.842
48.8916,311.271
50.8916,311.17
52.8916,309.164
54.8916,310.947
56.8916,311.234
58.8916,309.828
60.8916,309.276
62.8916,311.001
64.8916,313.817
66.8916,317.275
68.8916,323.5
70.8916,334.906
72.8916,350.884
74.8916,377.568
76.8916,422.14
78.8916,487.324
80.8916,572.172
82.8916,689.763
84.8916,834.432
86.8916,989.713
88.8916,1159.76
90.8916,1317.27
92.8916,1423.87
94.8916,1459.6
96.8916,1433.89
98.8916,1328.89
100.8916,1173.17
102.8916,1021.41
104.8916,884.521
106.8916,770.986
108.8916,688.448
110.8916,635.203
112.8916,598.348
114.8916,579.092
116.8916,576.776
118.8916,586.394
120.8916,604.006
122.8916,627.532
124.8916,648.397
126.8916,653.84
128.8916,633.347
130.8916,585.02
132.8916,532.2
134.8916,491.636
136.8916,456.097
138.8916,427.085
140.8916,407.901
142.8916,396.405
144.8916,386.9
146.8916,380.399
148.8916,376.131
150.8916,371.949
152.8916,366.923
154.8916,363.058
156.8916,362.344
158.8916,362.532
160.8916,360.9
162.8916,359.935
164.8916,358.765
166.8916,357.485
168.8916,356.698
170.8916,355.152
172.8916,351.653
174.8916,347.711
176.8916,344.201
178.8916,340.038
180.8916,337.236
182.8916,336.172
184.8916,335.705
186.8916,335.119
188.8916,335.263
190.8916,333.992
192.8916,332.832
194.8916,333.88
196.8916,333.139
198.8916,333.229
200.8916,333.178
202.8916,331.359
204.8916,330.645
206.8916,330.505
208.8916,330.291
210.8916,330.224
212.8916,330.31
214.8916,329.287
216.8916,330.342
218.8916,331.922
220.8916,332.334
222.8916,338.642
224.8916,340.293
226.8916,340.041
228.8916,343.463
230.8916,342.473
232.8916,340.132
234.8916,338.883
236.8916,336.309
238.8916,331.239
240.8916,331.906
242.8916,332.431
244.8916,332.66
246.8916,335.952
248.8916,337.669
250.8916,348.833
252.8916,366.395
254.8916,384.016
256.8916,404.743
258.8916,426.869
260.8916,447.459
262.8916,456.366
264.8916,442.909
266.8916,411.573
268.8916,378.985
270.8916,355.632
272.8916,342.184
274.8916,334.14
276.8916,327.606
278.8916,326.269
280.8916,326.001
282.8916,322.356
284.8916,327.125
286.8916,326.463
288.8916,322.583
290.8916,323.498
292.8916,323.295
294.8916,320.462
296.8916,319.738
298.8916,321.923
300.8916,322.552
302.8916,320.389
304.8916,321.796
306.8916,324.249
308.8916,322.993
310.8916,320.462
312.8916,320.833
314.8916,320.204
316.8916,319.343
318.8916,321.113
320.8916,321.719
