xmic,k9055,n9055,k9505,n9505,k9082,n9082
9.991,0.303,1.935,0.191,1.717,1.653,3.204
9.948,0.283,1.91,0.177,1.701,1.604,3.123
9.905,0.263,1.901,0.161,1.705,1.555,3.084
9.862,0.243,1.89,0.158,1.705,1.502,3.041
9.819,0.223,1.888,0.15,1.704,1.445,3.019
9.776,0.202,1.885,0.143,1.706,1.386,2.995
9.734,0.181,1.89,0.138,1.708,1.321,2.992
9.692,0.163,1.897,0.133,1.711,1.264,2.995
9.65,0.147,1.907,0.131,1.713,1.209,3.006
9.608,0.132,1.918,0.127,1.714,1.153,3.023
9.566,0.122,1.934,0.124,1.718,1.108,3.056
9.525,0.115,1.947,0.122,1.72,1.069,3.083
9.483,0.111,1.962,0.12,1.724,1.034,3.121
9.442,0.109,1.974,0.119,1.726,1.007,3.157
9.401,0.109,1.988,0.119,1.729,0.988,3.2
9.361,0.111,1.999,0.119,1.73,0.975,3.235
9.32,0.115,2.01,0.119,1.733,0.964,3.274
9.28,0.12,2.016,0.12,1.733,0.958,3.308
9.239,0.125,2.024,0.12,1.735,0.956,3.346
9.199,0.13,2.028,0.121,1.734,0.958,3.377
9.159,0.136,2.032,0.121,1.736,0.962,3.412
9.12,0.14,2.033,0.122,1.735,0.968,3.44
9.08,0.144,2.036,0.122,1.736,0.977,3.472
9.041,0.146,2.036,0.122,1.734,0.986,3.498
9.001,0.149,2.038,0.122,1.735,0.999,3.53
8.962,0.152,2.038,0.121,1.733,1.016,3.555
8.924,0.154,2.04,0.121,1.734,1.034,3.582
8.885,0.155,2.04,0.121,1.733,1.054,3.603
8.846,0.157,2.042,0.12,1.733,1.077,3.626
8.808,0.158,2.042,0.119,1.731,1.101,3.642
8.77,0.159,2.044,0.118,1.732,1.126,3.66
8.732,0.16,2.045,0.117,1.731,1.152,3.672
8.694,0.161,2.048,0.116,1.733,1.178,3.686
8.656,0.163,2.049,0.115,1.732,1.208,3.695
8.619,0.166,2.052,0.114,1.733,1.237,3.702
8.581,0.168,2.052,0.114,1.732,1.264,3.703
8.544,0.171,2.054,0.113,1.733,1.291,3.709
8.507,0.174,2.055,0.112,1.732,1.321,3.709
8.47,0.177,2.056,0.11,1.734,1.351,3.707
8.433,0.18,2.055,0.11,1.734,1.378,3.699
8.397,0.183,2.056,0.109,1.735,1.406,3.695
8.36,0.186,2.055,0.108,1.735,1.432,3.682
8.324,0.189,2.056,0.107,1.737,1.456,3.671
8.288,0.192,2.053,0.106,1.738,1.478,3.652
8.252,0.194,2.053,0.106,1.74,1.495,3.636
8.216,0.196,2.051,0.106,1.741,1.509,3.616
8.181,0.197,2.05,0.106,1.743,1.518,3.6
8.145,0.198,2.048,0.106,1.743,1.522,3.581
8.11,0.199,2.048,0.106,1.746,1.523,3.57
8.075,0.2,2.046,0.107,1.746,1.521,3.557
8.04,0.201,2.046,0.107,1.749,1.516,3.554
8.005,0.201,2.045,0.108,1.749,1.51,3.552
7.97,0.202,2.046,0.109,1.751,1.503,3.56
7.935,0.203,2.046,0.111,1.752,1.497,3.572
7.901,0.204,2.047,0.112,1.753,1.496,3.595
7.867,0.206,2.047,0.113,1.753,1.499,3.621
7.833,0.208,2.049,0.115,1.755,1.512,3.658
7.799,0.211,2.048,0.117,1.755,1.536,3.695
7.765,0.214,2.049,0.119,1.756,1.574,3.735
7.731,0.217,2.048,0.121,1.755,1.621,3.766
7.698,0.22,2.048,0.123,1.756,1.68,3.8
7.664,0.223,2.047,0.125,1.755,1.755,3.819
7.631,0.226,2.047,0.127,1.756,1.839,3.827
7.598,0.23,2.044,0.129,1.754,1.927,3.814
7.565,0.233,2.043,0.131,1.754,2.015,3.786
7.532,0.236,2.04,0.133,1.752,2.096,3.738
7.5,0.239,2.039,0.135,1.752,2.167,3.679
7.467,0.242,2.036,0.137,1.75,2.224,3.608
7.435,0.246,2.034,0.138,1.749,2.267,3.535
7.402,0.249,2.03,0.139,1.746,2.296,3.458
7.37,0.253,2.027,0.14,1.745,2.313,3.389
7.338,0.256,2.021,0.141,1.743,2.321,3.321
7.307,0.257,2.017,0.142,1.742,2.324,3.264
7.275,0.259,2.01,0.143,1.739,2.324,3.21
7.243,0.259,2.006,0.143,1.739,2.322,3.164
7.212,0.259,1.999,0.143,1.736,2.32,3.12
7.181,0.258,1.995,0.144,1.736,2.321,3.084
7.149,0.255,1.989,0.143,1.733,2.324,3.045
7.118,0.252,1.986,0.143,1.733,2.329,3.011
7.088,0.248,1.983,0.143,1.731,2.338,2.972
