xnm n9505 k9505	  n9055 k9055    n9082 k9082 
270 1.699 1.22E-01 1.721 9.70E-02 2.126 4.88E-01
282 1.698 1.01E-01 1.713 8.01E-02 2.168 4.06E-01
294 1.694 8.31E-02 1.704 6.60E-02 2.187 3.25E-01
306 1.689 6.82E-02 1.696 5.43E-02 2.188 2.52E-01
318 1.684 5.58E-02 1.688 4.45E-02 2.177 1.89E-01
330 1.678 4.54E-02 1.681 3.62E-02 2.157 1.37E-01
342 1.672 3.67E-02 1.673 2.93E-02 2.133 9.60E-02
354 1.667 2.94E-02 1.667 2.34E-02 2.106 6.37E-02
366 1.661 2.34E-02 1.660 1.85E-02 2.079 3.94E-02
378 1.656 1.83E-02 1.654 1.44E-02 2.054 2.19E-02
390 1.651 1.41E-02 1.649 1.09E-02 2.029 1.01E-02
402 1.646 1.07E-02 1.644 8.08E-03 2.008 3.12E-03
414 1.642 7.83E-03 1.639 5.76E-03 1.988 1.87E-04
426 1.637 5.54E-03 1.634 3.90E-03 1.974 0
438 1.634 3.72E-03 1.630 2.46E-03 1.962 0
450 1.630 2.32E-03 1.626 1.38E-03 1.953 0
462 1.626 1.28E-03 1.623 6.35E-04 1.944 0
474 1.623 5.75E-04 1.619 1.86E-04 1.937 0
486 1.620 1.58E-04 1.616 6.00E-06 1.931 0
498 1.618 3.00E-06 1.614 0 1.926 0
510 1.616 0 1.612 0 1.921 0
522 1.614 0 1.610 0 1.916 0
534 1.612 0 1.608 0 1.912 0
552 1.610 0 1.606 0 1.907 0
576 1.608 0 1.603 0 1.901 0
600 1.606 0 1.601 0 1.896 0
