YEAR DAY  RAD_AU  SE_LAT  SE_LON
1977 249    1.01     0.0   343.4
1978 249    4.09     0.7   116.3
1979 249    6.12     1.5   150.9
1980 249    8.90     2.2   178.6
1981 248   11.21    12.6   196.7
1982 248   14.05    20.4   209.9
1983 248   17.30    25.0   219.1
1984 248   20.74    27.7   225.6
1985 247   24.28    29.5   230.5
1986 247   27.86    30.7   234.2
1987 247   31.47    31.5   237.1
1988 247   35.09    32.1   239.5
1989 246   38.72    32.6   241.4
1990 246   42.36    33.0   243.1
1991 246   45.99    33.3   244.5
1992 246   49.62    33.5   245.7
1993 245   53.25    33.7   246.7
1994 245   56.88    33.9   247.6
1995 245   60.50    34.0   248.4
1996 245   64.12    34.1   249.1
1997 244   67.73    34.3   249.8
1998 244   71.34    34.3   250.4
1999 244   74.95    34.4   250.9
2000 244   78.55    34.5   251.4
2001 243   82.15    34.6   251.8
2002 243   85.75    34.6   252.2
2003 243   89.35    34.7   252.6
2004 243   92.95    34.7   253.0
2005 242   96.54    34.7   253.3
2006 242  100.13    34.8   253.6
2007 242  103.72    34.8   253.9
2008 242  107.30    34.9   254.1
2009 241  110.88    34.9   254.4
2010 241  114.46    34.9   254.6
2011 241  118.04    34.9   254.8
2012 241  121.61    35.0   255.0
2013 240  125.19    35.0   255.2
2014 240  128.76    35.0   255.4
2015 240  132.33    35.0   255.6
2016 240  135.90    35.0   255.8
2017 239  139.47    35.1   255.9
2018 239  143.04    35.1   256.1
2019 239  146.61    35.1   256.2
